department,job,timeclass,startdate,hourly_wage,regular_pay,overtime_pay,other_pay,total_pay,reg_hours,overtime_hours,total_hours
Police,Police Officer,F,7/15/1991,37.79,71560,0,5238.09,76798.09,36.415820221059704,0,36.415820221059704
Police,Police Officer,F,12/17/2018,30.04,58472.8,2480.96,1490.57,62444.33,37.432653897367615,1.0588275461777459,38.49148144354536
Fire,Firefighter 56hr,F,1/14/2008,24.48,65584.91,18186.03,1329.91,85100.85,51.52157962543992,9.524274132730016,61.04585375816993
Police,Forensic Scientist IV,F,12/28/2009,51.02,104979.2,0,1175.32,106154.52,39.56939963212013,0,39.56939963212013
Parks and Recreation,Parks & Recreation Aide*Cash,P,4/19/2010,12.92,5131.92,259.68,75,5466.6,7.638604429626101,0.2576804000952608,7.8962848297213615
Street Transportation,Environmental Quality Spec,F,9/12/2016,41.78,85972.8,0,1746.2,87719,39.572117686047804,0,39.572117686047804
Planning & Development,Chief Engineering Tech*U7,F,9/26/2016,23.58,45128,0,75,45203,36.804332224179554,0,36.804332224179554
Water Services,GIS Coordinator,F,4/19/1999,43.92,90379.2,0,7633.8,98013,39.573350147120635,0,39.573350147120635
Library,Library Assistant,P,6/5/2017,19.37,22691.92,0,161.4,22853.32,22.52881140542472,0,22.52881140542472
Planning & Development,Planning & Dev Team Ldr,F,5/14/2012,53.7,106694.4,0,775.18,107469.57999999999,38.208852599914046,0,38.208852599914046
Police,Police Lieutenant,F,8/16/1996,64.47,132955.2,10870.77,33901.49,177727.46,39.659233274868456,2.1617627757692905,41.820996050637746
Police,Police Officer,F,7/26/2010,34.27,66192.64,0.14,2782.7,68975.48,37.14430652510605,5.23744322985642e-5,37.144358899538354
Police,Police Officer,F,6/2/2008,37.79,77606.4,25791.43,4654.55,108052.37999999999,39.49274329798278,8.749916882094707,48.242660180077486
Police,Police Communications Supv,F,11/1/2010,31.93,64915.2,5369.57,2095.03,72379.79999999999,39.09706328747983,2.155986251977483,41.25304953945731
Street Transportation,Traffic Maintenance Worker,F,8/15/2016,20.69,41218.94,217.24,3.6,41439.78,38.31183775142209,0.1346122863764236,38.44645003779851
Police,Police Sergeant,F,1/10/1995,53.72,110785.6,41174.29,9576.92,161536.81000000003,39.65920155793573,9.826424289287283,49.48562584722301
Police,Police Officer,F,5/3/1999,37.79,77606.4,24843.23,9921.8,112371.43,39.49274329798278,8.428233625772657,47.92097692375543
Fire,User Technology Specialist,F,8/23/2021,27.44,18659.2,0,625,19284.2,13.076923076923077,0,13.076923076923077
Street Transportation,Support Services Aide,F,11/16/2020,17.11,34711.77,0,0,34711.77,39.01426291417525,0,39.01426291417525
Public Works,Equipment Service Wkr II,F,5/21/2018,19.59,39246.4,1103.62,831.72,41181.740000000005,38.526720854439084,0.7222549443070118,39.248975798746095
Fire,Fire Captain*40hr,F,7/10/2000,51.65,82922.04,39826.28,2449.99,125198.31,30.874242311415593,9.88564052920297,40.75988284061856
Police,Police Officer,F,8/21/2000,37.79,77606.4,4522.59,4995.2,87124.18999999999,39.49274329798278,1.534319213467136,41.02706251144991
Parks and Recreation,Gardener,F,1/24/2000,20.83,42788.8,0,1895,44683.8,39.5036744340633,0,39.5036744340633
Aviation,Building Maint Worker*U2,F,5/26/2014,28.31,58145.6,332.8,923.85,59402.25,39.497867021710185,0.1507123513481691,39.648579373058354
Water Services,Water Services Technician,F,8/24/2020,18.25,37304.8,108.39,0,37413.19,39.30958904109589,0.07614330874604848,39.38573234984194
Police,Police Coding Clerk,F,9/23/2019,17.97,36649.2,50.52,75,36774.719999999994,39.220495697958135,0.036042977612259754,39.2565386755704
Fire,Fire Engineer 56hr,F,8/14/1995,26.95,77810.17,6238.82,6523.13,90572.12,55.52316968745541,2.9678987678987676,58.491068455354174
Public Works,Solid Waste Equipment Operator,F,11/2/2020,20.69,36562,9143.18,165.77,45870.95,33.9833438673458,5.665551300640716,39.64889516798652
