id,latitude,longitude,severity,severity2,road_length_shutdown,dateof,day_of_week,month_of_year,week_of_year,time,city,zipcode,highway,street,side,special_condition,light,weather,wind,wind_speed,precipitation,visibility
A-91180,33.66277,-111.99958,Moderate Delay,Moderate,0.238,2016-11-30,Wed,11,48,08:01:56,Phoenix,85050,highway,Piestewa Fwy N,R,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91181,33.66876,-112.07275,Somewhat Delay,Minor/Slight,0.82,2016-11-30,Wed,11,48,08:19:52,Phoenix,85024,highway,Loop 101 E,R,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91183,33.48425,-112.11319,Somewhat Delay,Minor/Slight,0.645,2016-11-30,Wed,11,48,10:05:39,Phoenix,85015,highway,Black Canyon Fwy S,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91184,33.295215,-111.97242,Somewhat Delay,Minor/Slight,0.466,2016-11-30,Wed,11,48,10:10:37,Phoenix,85048,highway,Pearl Harbor Memorial Highway,R,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91188,33.4619,-112.092145,Somewhat Delay,Minor/Slight,0.397,2016-11-30,Wed,11,48,11:28:58,Phoenix,85007-2021,Street,N Laurel Ave,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91189,33.46209,-112.11829,Somewhat Delay,Minor/Slight,1.349,2016-11-30,Wed,11,48,11:28:58,Phoenix,85009,highway,Pearl Harbor Memorial Highway,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91194,33.485240000000005,-112.04093,Somewhat Delay,Minor/Slight,0.757,2016-11-30,Wed,11,48,23:43:22,Phoenix,85016,highway,Piestewa Fwy S,R,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91195,33.45924,-112.00607,Somewhat Delay,Minor/Slight,0.741,2016-11-30,Wed,11,48,23:44:46,Phoenix,85008,highway,AZ-202 Loop W,R,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91196,33.558681,-112.038329,Somewhat Delay,Minor/Slight,0.304,2016-12-01,Thu,12,48,00:36:31,Phoenix,85028,highway,Piestewa Fwy S,R,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91198,33.43683,-112.08253,Extreme Delay,Severe,0.466,2016-12-01,Thu,12,48,01:33:56,Phoenix,85007,Street,W Buckeye Rd,L,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
