source,statement,description,link
Occupy Democrats,“Obama imposed stricter rules on trains carrying toxins. Trump killed them.”,"stated on February 15, 2023 in a photo on Facebook:",https://www.politifact.com/factchecks/2023/feb/17/occupy-democrats/obama-era-safety-rule-high-hazard-trains-was-repea/
Morgan Luttrell,"""Energy costs are the highest in 15 years.""","stated on January 10, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/feb/16/morgan-luttrell/estimated-winter-heating-costs-highest-level-over/
Dave Grohl,Canada is to thank for American football.,"stated on February 12, 2023 in a Super Bowl ad:",https://www.politifact.com/factchecks/2023/feb/13/dave-grohl/should-we-thank-canada-for-football-pretty-much-da/
Joe Biden,"""Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree, no matter their background they came from.""","stated on February 7, 2023 in his State of the Union address:",https://www.politifact.com/factchecks/2023/feb/13/joe-biden/joe-biden-right-preschool-benefits-college-attenda/
Robin Vos,"In Wisconsin, even multimillionaires can be on BadgerCare ""because we don't even ask people what their income level is to qualify for free health care.""","stated on January 19, 2023 in Speech:",https://www.politifact.com/factchecks/2023/feb/09/robin-vos/vos-mostly-right-claim-about-multimillionaires-bad/
Devin LeMahieu,"""In 2010, (Wisconsin Republicans) inherited a multi-Billion dollar deficit … Today we are looking at a projected surplus approaching 7 Billion.""","stated on January 3, 2023 in Senate address:",https://www.politifact.com/factchecks/2023/feb/03/devin-lemahieu/wisconsin-republicans-take-credit-reigning-deficit/
Gavin Newsom,“The USA has a gun homicide rate 26 times higher than our peers.”,"stated on January 23, 2023 in a tweet:",https://www.politifact.com/factchecks/2023/jan/25/gavin-newsom/gavin-newsom-is-mostly-right-the-us-gun-homicide-r/
Glenn Youngkin,Virginia tax receipts “in just the last four years alone have grown 50%.”,"stated on January 23, 2023 in a speech.:",https://www.politifact.com/factchecks/2023/jan/25/glenn-youngkin/youngkin-near-mark-tax-growth-claim/
Eric Adams,“Fifty-one percent of our taxes are paid by 2% of New Yorkers.”,"stated on January 7, 2023 in a radio interview:",https://www.politifact.com/factchecks/2023/jan/24/eric-adams/claim-about-wealthy-residents-and-taxes-new-york-c/
Scott Walker,“Every pro-life Governor up for election in November won – by a large margin.”,"stated on January 1, 2023 in Twitter:",https://www.politifact.com/factchecks/2023/jan/13/scott-walker/yes-governors-who-oppose-abortion-did-well-in-midt/
