stops,pop,arrests,precinct,ethnicity,crime_type
75,1720,191,1,black,violent
36,1720,57,1,black,weapons
74,1720,599,1,black,property
17,1720,133,1,black,drug
37,1368,62,1,hispanic,violent
39,1368,27,1,hispanic,weapons
23,1368,149,1,hispanic,property
3,1368,57,1,hispanic,drug
26,23854,135,1,white,violent
32,23854,16,1,white,weapons
10,23854,107,1,white,property
13,23854,123,1,white,drug
73,2596,227,2,black,violent
37,2596,56,2,black,weapons
9,2596,246,2,black,property
13,2596,224,2,black,drug
77,6844,153,2,hispanic,violent
40,6844,64,2,hispanic,weapons
16,6844,78,2,hispanic,property
11,6844,262,2,hispanic,drug
18,9379,102,2,white,violent
14,9379,23,2,white,weapons
9,9379,137,2,white,property
30,9379,169,2,white,drug
293,2092,281,3,black,violent
245,2092,110,3,black,weapons
112,2092,384,3,black,property
102,2092,1413,3,black,drug
131,3633,123,3,hispanic,violent
149,3633,35,3,hispanic,weapons
99,3633,119,3,hispanic,property
62,3633,350,3,hispanic,drug
110,56304,205,3,white,violent
88,56304,39,3,white,weapons
116,56304,188,3,white,property
96,56304,806,3,white,drug
203,5699,93,4,black,violent
116,5699,33,4,black,weapons
24,5699,41,4,black,property
42,5699,304,4,black,drug
328,25489,212,4,hispanic,violent
324,25489,65,4,hispanic,weapons
88,25489,59,4,hispanic,property
157,25489,560,4,hispanic,drug
26,13001,42,4,white,violent
27,13001,27,4,white,weapons
30,13001,17,4,white,property
46,13001,360,4,white,drug
112,6265,256,5,black,violent
260,6265,96,5,black,weapons
63,6265,299,5,black,property
82,6265,1068,5,black,drug
170,20971,328,5,hispanic,violent
377,20971,157,5,hispanic,weapons
47,20971,171,5,hispanic,property
218,20971,1259,5,hispanic,drug
88,34674,194,5,white,violent
66,34674,43,5,white,weapons
35,34674,400,5,white,property
82,34674,1087,5,white,drug
182,2105,225,6,black,violent
178,2105,75,6,black,weapons
87,2105,201,6,black,property
188,2105,307,6,black,drug
90,6110,167,6,hispanic,violent
125,6110,73,6,hispanic,weapons
78,6110,117,6,hispanic,property
152,6110,214,6,hispanic,drug
37,15152,134,6,white,violent
54,15152,35,6,white,weapons
48,15152,89,6,white,property
78,15152,130,6,white,drug
143,6054,240,7,black,violent
70,6054,74,7,black,weapons
35,6054,543,7,black,property
53,6054,189,7,black,drug
34,9075,134,7,hispanic,violent
61,9075,45,7,hispanic,weapons
28,9075,264,7,hispanic,property
38,9075,127,7,hispanic,drug
48,71036,174,7,white,violent
46,71036,67,7,white,weapons
30,71036,210,7,white,property
63,71036,233,7,white,drug
294,3060,586,8,black,violent
452,3060,215,8,black,weapons
74,3060,2270,8,black,property
105,3060,2596,8,black,drug
143,5168,345,8,hispanic,violent
192,5168,168,8,hispanic,weapons
62,5168,1393,8,hispanic,property
38,5168,644,8,hispanic,drug
38,16222,218,8,white,violent
98,16222,66,8,white,weapons
53,16222,660,8,white,property
23,16222,547,8,white,drug
37,1747,86,9,black,violent
58,1747,42,9,black,weapons
34,1747,120,9,black,property
15,1747,72,9,black,drug
49,3919,83,9,hispanic,violent
25,3919,25,9,hispanic,weapons
9,3919,67,9,hispanic,property
8,3919,37,9,hispanic,drug
10,62949,106,9,white,violent
26,62949,31,9,white,weapons
8,62949,75,9,white,property
6,62949,35,9,white,drug
233,3104,312,10,black,violent
206,3104,98,10,black,weapons
75,3104,543,10,black,property
46,3104,514,10,black,drug
124,8307,212,10,hispanic,violent
228,8307,66,10,hispanic,weapons
58,8307,320,10,hispanic,property
43,8307,365,10,hispanic,drug
60,28617,193,10,white,violent
53,28617,47,10,white,weapons
22,28617,332,10,white,property
8,28617,317,10,white,drug
261,6613,212,11,black,violent
77,6613,53,11,black,weapons
44,6613,390,11,black,property
5,6613,84,11,black,drug
129,11310,166,11,hispanic,violent
44,11310,61,11,hispanic,weapons
