id,special_cond,light,weather,wind,wind_speed,precipitation,visibility
A-91180,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91181,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91183,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91184,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91188,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91189,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91194,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91195,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91196,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91198,Signal_StopSign,Daylight,Fair,Other,6.9,NA,10
A-91199,Other,Daylight,Fair,Other,6.9,NA,10
A-91201,RoadHighwayJunction,Daylight,Fair,Other,3.5,NA,10
A-91205,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91208,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91209,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91210,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91211,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91216,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91224,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91225,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91227,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91228,Signal_StopSign,Daylight,Fair,Other,9.2,NA,10
A-91229,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91231,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91235,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91242,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91247,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91261,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91264,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91269,Signal_StopSign,Daylight,Fair,Other,9.2,NA,10
A-91278,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91282,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91283,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91288,Unknown,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-91293,Unknown,Daylight,Fair,Other,8.1,NA,10
A-91301,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91302,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91306,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91307,Signal_StopSign,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91313,Unknown,Darkness_Lights_Unlit,Fair,Other,5.8,NA,10
A-91316,Unknown,Darkness_Lights_Unlit,Fair,Other,3.5,NA,10
A-91317,Other,Daylight,Fair,Other,3.5,NA,10
A-91318,Signal_StopSign,Daylight,Fair,Other,3.5,NA,10
A-91323,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91330,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91336,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-91341,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91343,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91344,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91346,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91349,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91350,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-91351,Unknown,Darkness_Lights_Lit,Fair,Other,8.1,NA,10
A-91356,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91357,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91360,Unknown,Darkness_Lights_Unlit,Fair,Other,4.6,NA,10
A-91372,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91374,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91381,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91382,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91387,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91390,Unknown,Darkness_Lights_Unlit,Fair,Unknown,NA,NA,10
A-91392,Signal_StopSign,Daylight,Fair,Other,4.6,NA,10
A-91394,RoadHighwayJunction,Daylight,Fair,Other,4.6,NA,10
A-91399,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91400,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-91402,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91413,Unknown,Darkness_Lights_Lit,Fair,Other,6.9,NA,10
A-91416,RoadHighwayJunction,Daylight,Fair,Other,6.9,NA,10
A-91426,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91427,Signal_StopSign,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91442,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91444,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91445,Unknown,Darkness_Lights_Lit,Other,Unknown,NA,NA,10
A-91446,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91447,Unknown,Darkness_Lights_Lit,Fair,Other,5.8,NA,10
A-91455,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91456,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91458,Unknown,Daylight,Fair,Other,4.6,NA,10
A-91459,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91461,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91463,Unknown,Darkness_Lights_Lit,Fair,Other,3.5,NA,10
A-91465,RoadHighwayJunction,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91466,Other,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91474,RoadHighwayJunction,Daylight,Fair,Unknown,NA,NA,10
A-91485,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91489,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91490,Unknown,Darkness_Lights_Lit,Fair,Unknown,NA,NA,10
A-91506,Unknown,Daylight,Fair,Other,3.5,NA,10
A-91507,RoadHighwayJunction,Daylight,Fair,Other,3.5,NA,10
A-91516,Unknown,Darkness_Lights_Lit,Fair,Other,4.6,NA,10
A-91529,Unknown,Darkness_Lights_Unlit,Other,Other,6.9,0,10
A-91531,Unknown,Daylight,Fair,Other,8.1,0.01,10
A-91536,Unknown,Daylight,Fair,Other,6.9,NA,10
A-91541,RoadHighwayJunction,Daylight,Fair,Other,8.1,NA,10
A-91545,Unknown,Daylight,Fair,Other,5.8,NA,10
A-91579,Unknown,Daylight,Fair,Unknown,NA,NA,10
A-91581,Unknown,Daylight,Fair,Other,9.2,NA,10
A-91584,Unknown,Daylight,Fair,Other,5.8,NA,10
