subject,setsize,message,rt,se,condition
ag,3,HIT,455.6593625498008,3.971891766334193,feature
ag,3,TNEG,479.0775510204082,4.297138650783901,feature
ag,6,HIT,458.1727272727273,4.483226414270376,feature
ag,6,TNEG,494.715859030837,5.986034694691154,feature
ag,12,HIT,460.87130801687766,4.1674792431072865,feature
ag,12,TNEG,482.7991631799163,5.099992860058465,feature
ag,18,HIT,464.40316205533594,4.419449644807237,feature
ag,18,TNEG,482.56276150627616,5.110510701081746,feature
ak,3,HIT,368.08991228070175,3.9777143427865713,feature
ak,3,TNEG,415.00454545454545,4.502343446706777,feature
ak,6,HIT,369.31072210065645,4.1497126666258835,feature
ak,6,TNEG,413.2273641851107,4.409603430636529,feature
ak,12,HIT,373.1148514851485,4.013140646650241,feature
ak,12,TNEG,411.4358452138493,4.045050723615102,feature
ak,18,HIT,374.3567251461988,3.6978808748866308,feature
ak,18,TNEG,399.6293995859213,3.7045174338549227,feature
at,3,HIT,283.640562248996,1.750811347579905,feature
at,3,TNEG,329.19175257731956,1.5134789953491408,feature
at,6,HIT,285.756043956044,2.1939541401667557,feature
at,6,TNEG,325.455938697318,1.3292706113502732,feature
at,12,HIT,290.36625514403295,2.1426607367416843,feature
at,12,TNEG,325.3443298969072,1.4343181413524453,feature
at,18,HIT,296.3868131868132,2.1606255810905224,feature
at,18,TNEG,325.81944444444446,1.6164948318144718,feature
ck,3,HIT,461.90258449304173,5.516151794027498,feature
ck,3,TNEG,506.8256513026052,7.775265272070207,feature
ck,6,HIT,489.1825396825397,7.210535024255314,feature
ck,6,TNEG,502.6951219512195,6.613562511756592,feature
ck,12,HIT,495.6923076923077,7.159065032180484,feature
ck,12,TNEG,495.2495274102079,5.956222614443579,feature
ck,18,HIT,498.6252631578947,6.204422663327154,feature
ck,18,TNEG,508.5104166666667,6.6630582823925355,feature
gb,3,HIT,402.1844262295082,3.4788039015180288,feature
gb,3,TNEG,412.0868725868726,3.3989216012121415,feature
gb,6,HIT,412.29333333333335,4.046905602203989,feature
gb,6,TNEG,409.6633466135458,3.712487983003699,feature
gb,12,HIT,415.4807692307692,3.3892263851559212,feature
gb,12,TNEG,410.6765873015873,3.9754951180333435,feature
gb,18,HIT,418.6687116564417,3.5697264371235855,feature
gb,18,TNEG,411.8848484848485,4.007776352209897,feature
km,3,HIT,329.1045751633987,2.374326383544642,feature
km,3,TNEG,366.72264150943397,2.329539410458645,feature
km,6,HIT,336.60087719298247,2.5237960452855295,feature
km,6,TNEG,360.5125,2.204725280907221,feature
km,12,HIT,343.341796875,2.663791981592733,feature
km,12,TNEG,359.65606361829026,2.3736424376461485,feature
km,18,HIT,347.37606837606836,2.805632638787577,feature
km,18,TNEG,357.2258726899384,2.2725265340714604,feature
mp,3,HIT,371.1511879049676,4.477352864329572,feature
mp,3,TNEG,387.8228105906314,4.592131321399179,feature
mp,6,HIT,381.24678111587986,4.903811802453258,feature
mp,6,TNEG,370.4735812133072,3.831484631865684,feature
mp,12,HIT,381.4056399132321,4.8378387790090205,feature
mp,12,TNEG,382.71725571725574,5.084257748416489,feature
mp,18,HIT,389.0983981693364,5.056275121980523,feature
mp,18,TNEG,366.3339768339768,3.6583920734776902,feature
mz,3,HIT,428.2037037037037,6.198354337441735,feature
mz,3,TNEG,487.004329004329,7.442886430479298,feature
mz,6,HIT,441.11845102505697,7.683245731338676,feature
mz,6,TNEG,476.85515873015873,7.862660049780741,feature
mz,12,HIT,430.05858585858584,6.600222622679201,feature
mz,12,TNEG,466.68609865470853,8.379856349869442,feature
mz,18,HIT,429.7378048780488,5.807938076606425,feature
mz,18,TNEG,461.7014925373134,7.969099690549374,feature
rl,3,HIT,405.5776805251641,3.398270614977172,feature
rl,3,TNEG,424.5559921414538,3.643599039651016,feature
rl,6,HIT,408.220202020202,3.5117198623929204,feature
rl,6,TNEG,425.508,3.7909184425812508,feature
rl,12,HIT,413.28395061728395,3.486591728682318,feature
rl,12,TNEG,406.9263157894737,3.6454184833082426,feature
rl,18,HIT,422.98340248962654,3.6786212381901158,feature
rl,18,TNEG,417.7062780269058,3.9025786407934753,feature
1,3,HIT,488.672131147541,4.895878174537683,conjunction
1,3,TNEG,552.1778242677824,5.5943968294567235,conjunction
1,6,HIT,509.7110187110187,5.456776508102435,conjunction
1,6,TNEG,586.6766467065868,6.005849021334608,conjunction
1,12,HIT,539.4074803149606,5.46416684146128,conjunction
1,12,TNEG,625.7032520325204,6.920550088376715,conjunction
1,18,HIT,575.7105831533478,7.419402969474602,conjunction
1,18,TNEG,685.6080808080808,8.228552459435889,conjunction
2,3,HIT,521,3.9686123851179604,conjunction
2,3,TNEG,519.9795081967213,4.288866533410613,conjunction
2,6,HIT,535.0953346855983,4.421013690319689,conjunction
2,6,TNEG,556.4363636363636,4.354304063813513,conjunction
2,12,HIT,582.4073275862069,6.0336681989220855,conjunction
2,12,TNEG,638.905462184874,5.920335674318902,conjunction
2,18,HIT,605.3333333333334,6.1474795534725875,conjunction
2,18,TNEG,694.516129032258,6.631886585702043,conjunction
3,3,HIT,596.90234375,8.536660920222253,conjunction
3,3,TNEG,633.0528455284552,9.121667477819116,conjunction
3,6,HIT,616.329268292683,8.54656712282172,conjunction
3,6,TNEG,744.849173553719,12.31975812816684,conjunction
3,12,HIT,703.1512915129151,9.200992968883806,conjunction
3,12,TNEG,1011.0811359026369,20.077179471029957,conjunction
3,18,HIT,797.3952095808384,12.357813034433399,conjunction
3,18,TNEG,1338.7546728971963,26.69733587906345,conjunction
5,3,HIT,461.6035242290749,7.078087063199684,conjunction
5,3,TNEG,531.4302788844622,6.713290615073251,conjunction
5,6,HIT,468.4660633484163,7.110993968182191,conjunction
5,6,TNEG,586.8843813387424,8.275210353354238,conjunction
5,12,HIT,506.25748502994014,6.5653032784270176,conjunction
5,12,TNEG,652.5887096774194,8.716059036112867,conjunction
5,18,HIT,573.1577777777778,10.05817419857485,conjunction
5,18,TNEG,742.6896551724138,11.556469266331876,conjunction
6,3,HIT,483.619801980198,8.367159945858083,conjunction
6,3,TNEG,529.5010438413361,5.875514632232706,conjunction
6,6,HIT,539.138775510204,9.625065971403728,conjunction
6,6,TNEG,635.5758241758242,9.646798374941408,conjunction
6,12,HIT,611.5705263157895,9.787322160175751,conjunction
6,12,TNEG,952.8251028806584,16.61574867347872,conjunction
6,18,HIT,734.92,14.634708306923441,conjunction
6,18,TNEG,1251.244060475162,20.83067733912039,conjunction
7,3,HIT,551.2768595041322,4.969005736689159,conjunction
7,3,TNEG,606.1017699115044,5.328360018573248,conjunction
7,6,HIT,584.8971428571429,5.134172490650435,conjunction
7,6,TNEG,670.5625,5.711064556015907,conjunction
7,12,HIT,635.5845864661654,6.6680133109596555,conjunction
7,12,TNEG,775.867088607595,7.436653301061119,conjunction
7,18,HIT,683.8399122807018,7.885253430123272,conjunction
7,18,TNEG,863.678,8.254737234856044,conjunction
8,3,HIT,595.2130177514792,16.14993317780578,conjunction
8,3,TNEG,708.939330543933,17.9029535636734,conjunction
8,6,HIT,602.6293103448276,15.280011770779526,conjunction
8,6,TNEG,779.36460554371,18.21686184563167,conjunction
8,12,HIT,658.2890792291221,14.19232286432403,conjunction
8,12,TNEG,886.0199203187251,16.378299649559064,conjunction
8,18,HIT,699.9058295964126,15.926610192772072,conjunction
8,18,TNEG,1044.416490486258,17.068726904066466,conjunction
9,3,HIT,508.85510204081635,5.0627234558138055,conjunction
9,3,TNEG,534.837786259542,4.130264851690447,conjunction
9,6,HIT,529.0155642023346,4.7535958123552575,conjunction
9,6,TNEG,569.3452631578947,5.536417051126777,conjunction
9,12,HIT,581.3396624472574,5.712569153341151,conjunction
9,12,TNEG,667.7263374485597,7.17062612776722,conjunction
9,18,HIT,626.1372141372142,6.373395408038032,conjunction
9,18,TNEG,705.5031847133758,7.43240179229404,conjunction
10,3,HIT,550.4704641350211,9.141292138572219,conjunction
10,3,TNEG,595.8540856031128,7.7094843931928025,conjunction
10,6,HIT,566.7490566037736,7.979845240042265,conjunction
10,6,TNEG,677.116935483871,8.75778691338228,conjunction
10,12,HIT,660.3252032520326,10.819165138790538,conjunction
10,12,TNEG,1019.1589958158996,15.28132407087881,conjunction
10,18,HIT,712.2714570858284,10.975328893812035,conjunction
10,18,TNEG,1351.846827133479,16.89657266461946,conjunction
