downloaded,item_id,item_definition,category,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,word,freq,freqrank
2022-09-22,4,grrr,sounds,0.48,0.49,0.55,0.64,0.65,0.67,0.65,0.74,0.77,0.78,0.76,0.8,0.9,0.79,0.82,grrr,276325,0.8327283309133237
2022-09-22,5,meow,sounds,0.41,0.48,0.56,0.68,0.71,0.78,0.77,0.81,0.86,0.89,0.88,0.92,0.96,0.91,0.93,meow,810281,0.9108456433825736
2022-09-22,6,moo,sounds,0.5,0.52,0.62,0.75,0.76,0.78,0.79,0.85,0.88,0.88,0.88,0.92,0.95,0.92,0.93,moo,1631972,0.9405967623870496
2022-09-22,7,ouch,sounds,0.34,0.41,0.51,0.61,0.64,0.67,0.7,0.77,0.78,0.86,0.82,0.83,0.93,0.86,0.88,ouch,1174728,0.9281497125988504
2022-09-22,9,uh oh,sounds,0.71,0.68,0.78,0.87,0.87,0.89,0.88,0.88,0.9,0.93,0.9,0.93,0.97,0.91,0.89,uhoh,27389,0.3541304165216661
2022-09-22,10,vroom,sounds,0.38,0.4,0.51,0.57,0.57,0.61,0.6,0.69,0.7,0.75,0.71,0.7,0.86,0.72,0.74,vroom,209222,0.8036522146088584
2022-09-22,13,alligator,animals,0.02,0.04,0.06,0.13,0.14,0.19,0.22,0.3,0.4,0.47,0.5,0.52,0.74,0.66,0.7,alligator,1417637,0.9356437425749703
2022-09-22,14,animal,animals,0.03,0.07,0.11,0.2,0.21,0.28,0.33,0.44,0.5,0.56,0.58,0.61,0.78,0.71,0.73,animal,62566660,0.9961209844839379
2022-09-22,15,ant,animals,0.04,0.06,0.1,0.18,0.21,0.23,0.26,0.37,0.43,0.49,0.51,0.54,0.74,0.63,0.66,ant,6182704,0.9737918951675807
2022-09-22,16,bear,animals,0.23,0.29,0.37,0.51,0.55,0.57,0.6,0.66,0.74,0.78,0.79,0.84,0.91,0.86,0.85,bear,31981362,0.9925329701318806
2022-09-22,17,bee,animals,0.13,0.23,0.28,0.4,0.44,0.5,0.5,0.64,0.68,0.72,0.71,0.74,0.89,0.82,0.83,bee,8659734,0.9793479173916696
2022-09-22,18,bird,animals,0.32,0.42,0.5,0.63,0.65,0.71,0.7,0.77,0.81,0.89,0.89,0.89,0.95,0.9,0.9,bird,29437150,0.9918819675278701
