source,statement,description,link
Donald Trump,“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,"stated on September 22, 2025 in a press conference:",https://www.politifact.com/factchecks/2025/sep/23/donald-trump/president-donald-trump-said-theres-no-downside-to/
Joseph Ladapo,Every school vaccine mandate “drips” with “slavery.”,"stated on September 3, 2025 in a press conference:",https://www.politifact.com/factchecks/2025/sep/04/joseph-ladapo/Florida-vaccine-mandate-desantis-slavery/
X posts,A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,"stated on August 28, 2025 in an X post:",https://www.politifact.com/factchecks/2025/aug/29/tweets/Vanity-Fair-cover-Melania-Trump/
Donald Trump,"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”","stated on August 19, 2025 in a Truth Social post:",https://www.politifact.com/factchecks/2025/aug/20/donald-trump/smithsonian-museums-success-brightness-slavery/
TikTok posts,"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.","stated on August 12, 2025 in una publicación en TikTok:",https://www.politifact.com/factchecks/2025/aug/15/tiktok-posts/uribe-colombia-muerte-mexico-sheinbaum/
Donald Trump,"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.","stated on August 5, 2025 in an interview on CNBC:",https://www.politifact.com/factchecks/2025/aug/05/donald-trump/bls-firing-jobs-revision-election/
X posts,"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.","stated on July 29, 2025 in a post:",https://www.politifact.com/factchecks/2025/jul/30/tweets/Oprah-Hawaii-Maui-tsunami-private-road/
Benjamin Netanyahu,“There is no starvation in Gaza.”,"stated on July 27, 2025 in remarks:",https://www.politifact.com/factchecks/2025/jul/29/benjamin-netanyahu/benjamin-netanyahus-pants-on-fire-statement-that-t/
Donald Trump,"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.","stated on July 22, 2025 in a press conference:",https://www.politifact.com/factchecks/2025/jul/22/donald-trump/russia-investigation-coup-Obama-Russia-Tulsi-Gabba/
TikTok posts,“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,"stated on July 19, 2025 in a post on TikTok:",https://www.politifact.com/factchecks/2025/jul/21/tiktok-posts/4-days-left-tiktoks-exaggerate-the-danger-of-presi/
