source,statement,description,link
Dan Koh,"“If the government shuts down, members of Congress still get paid. The janitors never get paid.”","stated on September 29, 2025 in The People's Cabinet podcast:",https://www.politifact.com/factchecks/2025/sep/30/dan-koh/congress-gets-paid-during-a-government-shutdown-bu/
Robert Ortt,"During Gov. Hochul’s tenure, there has been “more crime on our streets.”","stated on August 4, 2025 in a statement:",https://www.politifact.com/factchecks/2025/sep/27/robert-ortt/ortts-claim-about-rising-crime-needs-context/
Katherine Clark,“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,"stated on September 12, 2025 in a post on X:",https://www.politifact.com/factchecks/2025/sep/17/katherine-clark/aca-enhanced-subsidies-renewal-government-shutdown/
Gavin Newsom,“Democrats have voted for national independent redistricting. Republicans have not.”,"stated on August 17, 2025 in a podcast episode:",https://www.politifact.com/factchecks/2025/aug/21/gavin-newsom/california-texas-independent-redistricting/
Americans for Prosperity,“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,"stated on July 28, 2025 in X:",https://www.politifact.com/factchecks/2025/aug/15/americans-prosperity/did-wisconsin-governors-did-evers-400-year-veto-lo/
Josh Stein,“Guns are the leading cause of death for children in North Carolina.”,"stated on June 6, 2025 in an X post:",https://www.politifact.com/factchecks/2025/aug/05/josh-stein/is-north-carolina-gov-josh-stein-right-about-gun-r/
Ritchie Torres,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”","stated on July 20, 2025 in an interview on CNN's ""State of the Union"":",https://www.politifact.com/factchecks/2025/jul/25/ritchie-torres/dollar-decline-currency-foreign-exchange/
U.S. Trade Representative,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”","stated on July 20, 2025 in a social media post:",https://www.politifact.com/factchecks/2025/jul/24/us-trade-representative/ice-cream-trade-imports-exports-biden-trump/
Gavin Newsom,“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,"stated on July 14, 2025 in a podcast interview:",https://www.politifact.com/factchecks/2025/jul/18/gavin-newsom/california-texas-federal-balance-payments-gdp/
Jon Favreau,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”","stated on July 8, 2025 in Pod Save America:",https://www.politifact.com/factchecks/2025/jul/11/jon-favreau/ICE-FBI-bill-Donald-Trump-largest/
Occupy Democrats,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""","stated on June 11, 2025 in Facebook post:",https://www.politifact.com/factchecks/2025/jun/27/occupy-democrats/do-people-in-the-us-illegally-pay-more-taxes-than/
Josh Schoemann,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”","stated on June 2, 2025 in Radio interview:",https://www.politifact.com/factchecks/2025/jun/25/josh-schoemann/gop-candidate-for-governor-says-income-taxes-are-l/
Gavin Newsom,"California has lower homicide rates than Alabama, Arkansas and Oklahoma.","stated on June 10, 2025 in posts on X:",https://www.politifact.com/factchecks/2025/jun/16/gavin-newsom/california-homicide-rate-alabama-arkansas-oklahoma/
Liz Oyer,“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,"stated on April 30, 2025 in a TikTok post:",https://www.politifact.com/factchecks/2025/jun/06/liz-oyer/donald-trump-pardons-wipe-out-billion-debts/
Charles Schumer,"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”","stated on April 27, 2025 in an interview on CNN's ""State of the Union"":",https://www.politifact.com/factchecks/2025/may/05/charles-schumer/trump-tariffs-cost-average-family-schumer/
Michael Lawler,"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”","stated on March 21, 2025 in a television interview:",https://www.politifact.com/factchecks/2025/apr/22/michael-lawler/putting-claim-about-largest-tax-increase-in-contex/
Ruben Gallego,Men “have the lowest college attainment rate ever.”,"stated on March 24, 2025 in a podcast episode:",https://www.politifact.com/factchecks/2025/apr/09/ruben-gallego/sen-ruben-gallego-mostly-right-american-men-tra/
Susan Crawford,"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""","stated on March 12, 2025 in TV debate:",https://www.politifact.com/factchecks/2025/mar/28/susan-crawford/in-wisconsin-supreme-court-race-crawford-claims-sc/
JD Vance,"“Under the previous administration … the cost of a median-price home in America more than doubled, and that was just in four years.”","stated on March 10, 2025 in a speech:",https://www.politifact.com/factchecks/2025/mar/12/jd-vance/did-the-cost-of-buying-a-home-double-under-joe-bid/
Social Media,The Chicago Cubs owner is bankrolling Brad Schimel.,"stated on February 18, 2025 in X, formerly Twitter:",https://www.politifact.com/factchecks/2025/feb/25/social-media/claim-that-chicago-cubs-owner-gave-to-wis-supreme/
Ron Johnson,We’re one of the very few nations that allowed birthright citizenship.”,"stated on January 26, 2025 in a TV interview:",https://www.politifact.com/factchecks/2025/feb/04/ron-johnson/wis-sen-johnson-says-us-is-one-of-very-few-nations/
Adam Schiff,"“As a Californian, we have given more to the recovery of other states than any other state in the union.”","stated on January 26, 2025 in an interview on NBC's Meet the Press:",https://www.politifact.com/factchecks/2025/jan/31/adam-schiff/fact-checking-sen-adam-schiffs-claim-about-califor/
Lisa Murkowski,"""Our nation’s tallest mountain … has been called Denali for thousands of years.""","stated on January 20, 2025 in an X post:",https://www.politifact.com/factchecks/2025/jan/23/lisa-murkowski/us-highest-mountain-called-denali-for-thousands-of/
Tony Evers,"“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""","stated on December 28, 2024 in X, formerly Twitter:",https://www.politifact.com/factchecks/2025/jan/15/tony-evers/does-wisconsin-have-record-high-budget-balances-un/
Kathy Hochul,"We’ve created 732,000 jobs since I've been governor.","stated on November 19, 2024 in a public event:",https://www.politifact.com/factchecks/2024/dec/26/kathy-hochul/job-growth-on-hochuls-watch-helped-by-pandemic-rec/
Eric Hovde,“Milwaukee is one of the sex trafficking capitals in our country.”,"stated on October 8, 2024 in Public appearance:",https://www.politifact.com/factchecks/2024/oct/29/eric-hovde/hovde-called-milwaukee-a-sex-trafficking-capital-i/
Tammy Baldwin,Says opponent Eric Hovde “supports a $4 trillion tax plan that would disproportionately advantage the well-off and profitable corporations”,"stated on October 11, 2024 in Interview:",https://www.politifact.com/factchecks/2024/oct/24/tammy-baldwin/baldwin-claim-that-hovde-supports-tax-plan-that-be/
Kelly Ayotte,"“There was a bill to basically create a ban to make sure we never become a sanctuary state, that no locality passes those regulations, and (former Manchester Mayor Joyce Craig) opposed that bill.”","stated on September 25, 2024 in a debate:",https://www.politifact.com/factchecks/2024/oct/23/kelly-ayotte/fact-checking-new-hampshires-governor-race-did-joy/
Donald Trump,Kamala Harris “supports taxpayer-funded sex changes for prisoners and illegal aliens.”,"stated on September 20, 2024 in a 2024 campaign ad:",https://www.politifact.com/factchecks/2024/oct/18/donald-trump/harris-support-for-prisoner-access-to-transgender/
Coalition to Protect Kids NY,"""The ERA could also mandate that schools allow biological males to compete in girls' sports.""","stated on September 29, 2024 in a campaign website:",https://www.politifact.com/factchecks/2024/oct/15/coalition-to-protect-kids-ny/constitutional-amendment-would-affirm-protections/
Democratic Senatorial Campaign Committee,"Says Wisconsin GOP U.S. Senate candidate Eric Hovde ""brags about being in the 1%.""","stated on September 20, 2024 in Campaign ad:",https://www.politifact.com/factchecks/2024/oct/10/democratic-senatorial-campaign-committee/did-eric-hovde-brag-about-being-in-the-1-his-campa/
Julie Su,"“400,000 workers are now in a union that were not in a union when (Biden) became president.”","stated on August 15, 2024 in News conference:",https://www.politifact.com/factchecks/2024/sep/23/julie-su/yes-union-membership-has-increased-under-biden-but/
Eric Hovde,"""Typically you have three to four debates in a U.S. Senate race. (Sen. Tammy Baldwin, D-Wis. has) given me one debate, almost a month after early voting has started.""","stated on September 3, 2024 in TV interview:",https://www.politifact.com/factchecks/2024/sep/17/eric-hovde/does-the-baldwin-hovde-debate-take-place-after-vot/
Kamala Harris,Donald Trump “took away protections against discrimination for LGBTQ patients under the Affordable Care Act.”,"stated on July 20, 2024 in remarks at a fundraiser in Provincetown, Mass.:",https://www.politifact.com/factchecks/2024/sep/09/kamala-harris/mostly-true-trump-admin-reversed-lgbtq-protections/
Pete Buttigieg,Gov. Tim Walz delivered paid family leave in Minnesota but “Republicans are blocking” a Biden-Harris proposal.,"stated on August 11, 2024 in an interview on CNN State of the Union:",https://www.politifact.com/factchecks/2024/aug/16/pete-buttigieg/fact-checking-buttigiegs-claim-that-republicans-ar/
Lindsey Graham,"El gobernador de Minnesota, Tim Walz, firmó una ley dando educación universitaria gratuita “a los inmigrantes ilegales”.","stated on August 6, 2024 in una publicación en X:",https://www.politifact.com/factchecks/2024/aug/12/lindsey-graham/tim-walz-firmo-ley-dando-matricula-universitaria-g/
Lindsey Graham,Minnesota Gov. Tim Walz signed “legislation giving free college … to illegal immigrants.”,"stated on August 6, 2024 in an X post:",https://www.politifact.com/factchecks/2024/aug/09/lindsey-graham/gov-tim-walz-signed-law-giving-some-minnesota-stud/
Joe Biden,"""Since Vice President Harris and I took office … incomes have risen faster than prices.""","stated on August 2, 2024 in a written statement:",https://www.politifact.com/factchecks/2024/aug/06/joe-biden/have-incomes-outpaced-inflation-since-joe-biden-to/
Pete Buttigieg,"“Even before the pandemic, America went into a manufacturing recession.”","stated on July 28, 2024 in an interview on Fox News Sunday:",https://www.politifact.com/factchecks/2024/jul/31/pete-buttigieg/was-us-manufacturing-in-recession-before-the-pande/
Kamala Harris,"“Today, America has record energy production and we are energy independent.”","stated on July 18, 2024 in a speech in North Carolina:",https://www.politifact.com/factchecks/2024/jul/26/kamala-harris/fact-checking-kamala-harris-on-energy-production-i/
