education,opinion
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Most robots have already developed higher levels of intelligence than humans
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will be able to develop higher levels of intelligence than humans in the future
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,Robots will never be able to develop higher levels of intelligence than humans
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,None of these
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
NO HS,Don't know
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
High School graduate,Most robots have already developed higher levels of intelligence than humans
